dataset1,dataset2, dataset1Cardinality, dataset2Cardinality, dataset1GridNPartitions, dataset2GridNPartitions,resultSJSize,selectivity, BNLJMBRTests, BNLJjobsTimes, BNLJjobsTimesRelStdDev, BNLJsizeJoins, BNLJsizeJoinsRelStdDev,PBSMMBRTests, PBSMjobsTimes, PBSMjobsTimesRelStdDev, PBSMsizeJoins, PBSMsizeJoinsRelStdDev,DJMBRTests, DJjobsTimes, DJjobsTimesRelStdDev, DJsizeJoins, DJsizeJoinsRelStdDev,REPJMBRTests, REPJjobsTimes, REPJjobsTimesRelStdDev, REPJsizeJoins, REPJsizeJoinsRelStdDev,Smallest cardinality,Class
parks-00461.csv,lakes-00461.csv,101439,95479,34,28,33561,3.46515E-06,0,0,0,0,0,1861814,146.934,0,0,0,0,0,0,0,0,0,0,0,0,0,95479,1
parks-00465.csv,lakes-00465.csv,225972,94600,57,32,30458,1.42481E-06,0,0,0,0,0,2764650,178.077,0,0,0,0,0,0,0,0,0,0,0,0,0,94600,1
parks-00161.csv,lakes-00161.csv,120133,89516,33,59,82034,7.62836E-06,0,0,0,0,0,2035227,105.684,0,0,0,0,0,0,0,0,0,0,0,0,0,89516,1
parks-00155.csv,lakes-00155.csv,99392,84686,14,32,32078,3.81105E-06,0,0,0,0,0,1024951,267.373,0,0,0,0,0,0,0,0,0,0,0,0,0,84686,1
parks-00197.csv,lakes-00197.csv,82561,290397,51,55,254681,1.06226E-05,0,0,0,0,0,5344015,38969.619,0,0,0,0,0,0,0,0,0,0,0,0,0,82561,1
parks-00162.csv,lakes-00162.csv,81453,75299,21,28,26597,4.33647E-06,0,0,0,0,0,814072,79.939,0,0,0,0,0,0,0,0,0,0,0,0,0,75299,1
parks-00209.csv,lakes-00209.csv,71670,590080,54,183,586753,1.38742E-05,0,0,0,0,0,3281432,1089.609,0,0,0,0,0,0,0,0,0,0,0,0,0,71670,1
parks-00384.csv,lakes-00384.csv,71472,77402,21,35,15864,2.86764E-06,0,0,0,0,0,764674,37.06,0,0,0,0,0,0,0,0,0,0,0,0,0,71472,1
parks-00187.csv,lakes-00187.csv,244167,68030,31,15,19132,1.15179E-06,0,0,0,0,0,1283629,43.497,0,0,0,0,0,0,0,0,0,0,0,0,0,68030,1
parks-00106.csv,lakes-00106.csv,108932,65568,30,22,26745,3.74451E-06,0,0,0,0,0,1200817,101.496,0,0,0,0,0,0,0,0,0,0,0,0,0,65568,1
parks-00055.csv,lakes-00055.csv,108575,63672,41,26,31779,4.59687E-06,0,0,0,0,0,1081135,81.813,0,0,0,0,0,0,0,0,0,0,0,0,0,63672,1
parks-00406.csv,lakes-00406.csv,63348,143972,10,22,28457,3.12017E-06,0,0,0,0,0,625647,14.214,0,0,0,0,0,0,0,0,0,0,0,0,0,63348,1
parks-00374.csv,lakes-00374.csv,275289,61509,47,17,42485,2.50904E-06,0,0,0,0,0,2280358,41.377,0,0,0,0,0,0,0,0,0,0,0,0,0,61509,1
parks-00199.csv,lakes-00199.csv,61219,703629,60,122,636526,1.4777E-05,0,0,0,0,0,8166391,12709.476,0,0,0,0,0,0,0,0,0,0,0,0,0,61219,1
parks-00393.csv,lakes-00393.csv,98586,60462,19,20,25620,4.29815E-06,0,0,0,0,0,978911,346.194,0,0,0,0,0,0,0,0,0,0,0,0,0,60462,1
parks-00375.csv,lakes-00375.csv,213100,59416,35,14,41841,3.30457E-06,0,0,0,0,0,1540055,79.051,0,0,0,0,0,0,0,0,0,0,0,0,0,59416,1
parks-00061.csv,lakes-00061.csv,113452,58808,13,19,27734,4.15685E-06,0,0,0,0,0,1068039,59.499,0,0,0,0,0,0,0,0,0,0,0,0,0,58808,1
parks-00453.csv,lakes-00453.csv,124717,57514,33,26,10615,1.47986E-06,0,0,0,0,0,1185297,90.527,0,0,0,0,0,0,0,0,0,0,0,0,0,57514,1
parks-00098.csv,lakes-00098.csv,99690,56938,10,20,23520,4.14365E-06,0,0,0,0,0,1057192,268.582,0,0,0,0,0,0,0,0,0,0,0,0,0,56938,1
parks-00305.csv,lakes-00305.csv,107193,51076,31,21,22300,4.07307E-06,0,0,0,0,0,1088769,146.057,0,0,0,0,0,0,0,0,0,0,0,0,0,51076,1
parks-00212.csv,lakes-00212.csv,50914,553810,50,109,563833,1.99964E-05,0,0,0,0,0,3179091,177.374,0,0,0,0,0,0,0,0,0,0,0,0,0,50914,1
parks-00163.csv,lakes-00163.csv,122128,50812,15,17,48852,7.87229E-06,0,0,0,0,0,2313735,446.342,0,0,0,0,0,0,0,0,0,0,0,0,0,50812,1
parks-00063.csv,lakes-00063.csv,50800,50925,5,21,11457,4.4287E-06,0,0,0,0,0,323545,23.687,0,0,0,0,0,0,0,0,0,0,0,0,0,50800,1
parks-00186.csv,lakes-00186.csv,60390,47987,3,23,13442,4.63848E-06,0,0,0,0,0,411989,256.753,0,0,0,0,0,0,0,0,0,0,0,0,0,47987,1
parks-00365.csv,lakes-00365.csv,68950,41876,8,16,14837,5.13862E-06,0,0,0,0,0,633679,143.864,0,0,0,0,0,0,0,0,0,0,0,0,0,41876,1
parks-00468.csv,lakes-00468.csv,41124,58369,6,20,11013,4.58805E-06,0,0,0,0,0,663836,36.77,0,0,0,0,0,0,0,0,0,0,0,0,0,41124,1
parks-00397.csv,lakes-00397.csv,39816,105732,13,17,28195,6.69743E-06,0,0,0,0,0,710384,18.71,0,0,0,0,0,0,0,0,0,0,0,0,0,39816,1
parks-00170.csv,lakes-00170.csv,516451,39769,58,17,24487,1.19223E-06,0,0,0,0,0,9071651,487.195,0,0,0,0,0,0,0,0,0,0,0,0,0,39769,1
parks-00378.csv,lakes-00378.csv,42197,39348,9,14,22123,1.33242E-05,0,0,0,0,0,905672,51.71,0,0,0,0,0,0,0,0,0,0,0,0,0,39348,1
parks-00172.csv,lakes-00172.csv,98211,37160,7,15,6911,1.89367E-06,0,0,0,0,0,964937,185.869,0,0,0,0,0,0,0,0,0,0,0,0,0,37160,1
parks-00250.csv,lakes-00250.csv,36373,230846,29,75,119052,1.41787E-05,0,0,0,0,0,2487174,40.584,0,0,0,0,0,0,0,0,0,0,0,0,0,36373,1
parks-00399.csv,lakes-00399.csv,34089,77916,7,17,15033,5.65985E-06,0,0,0,0,0,547682,11.034,0,0,0,0,0,0,0,0,0,0,0,0,0,34089,1
parks-00414.csv,lakes-00414.csv,32513,88264,6,23,11140,3.8819E-06,0,0,0,0,0,509001,70.138,0,0,0,0,0,0,0,0,0,0,0,0,0,32513,1
parks-00463.csv,lakes-00463.csv,91902,31372,11,13,9384,3.25477E-06,0,0,0,0,0,1009085,49.016,0,0,0,0,0,0,0,0,0,0,0,0,0,31372,1
parks-00174.csv,lakes-00174.csv,99277,31097,15,20,13641,4.41854E-06,0,0,0,0,0,1106980,191.887,0,0,0,0,0,0,0,0,0,0,0,0,0,31097,1
parks-00470.csv,lakes-00470.csv,214693,29941,47,13,6080,9.45844E-07,0,0,0,0,0,1681474,129.729,0,0,0,0,0,0,0,0,0,0,0,0,0,29941,1
parks-00459.csv,lakes-00459.csv,29675,49444,8,27,8800,5.99761E-06,0,0,0,0,0,472705,21.557,0,0,0,0,0,0,0,0,0,0,0,0,0,29675,1
parks-00433.csv,lakes-00433.csv,29418,55240,13,21,13131,8.08037E-06,0,0,0,0,0,295932,9.518,0,0,0,0,0,0,0,0,0,0,0,0,0,29418,1
parks-00420.csv,lakes-00420.csv,27453,29753,8,11,6606,8.08757E-06,0,0,0,0,0,205158,5.838,0,0,0,0,0,0,0,0,0,0,0,0,0,27453,1
parks-00452.csv,lakes-00452.csv,43810,26075,9,6,14676,1.28472E-05,0,0,0,0,0,384847,16.845,0,0,0,0,0,0,0,0,0,0,0,0,0,26075,1
parks-00248.csv,lakes-00248.csv,24719,197806,37,54,114272,2.33706E-05,0,0,0,0,0,2328116,22.965,0,0,0,0,0,0,0,0,0,0,0,0,0,24719,1
parks-00236.csv,lakes-00236.csv,24413,58617,7,21,24800,1.73303E-05,0,0,0,0,0,452079,20.703,0,0,0,0,0,0,0,0,0,0,0,0,0,24413,1
parks-00173.csv,lakes-00173.csv,35082,24259,3,7,2993,3.51681E-06,0,0,0,0,0,263184,58.79,0,0,0,0,0,0,0,0,0,0,0,0,0,24259,1
parks-00436.csv,lakes-00436.csv,24011,31963,3,8,6160,8.02644E-06,0,0,0,0,0,232688,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,24011,1
parks-00364.csv,lakes-00364.csv,23997,33942,8,11,15383,1.88863E-05,0,0,0,0,0,461231,11.375,0,0,0,0,0,0,0,0,0,0,0,0,0,23997,1
parks-00154.csv,lakes-00154.csv,28476,23193,5,12,6702,1.01477E-05,0,0,0,0,0,215568,9.256,0,0,0,0,0,0,0,0,0,0,0,0,0,23193,1
parks-00124.csv,lakes-00124.csv,24085,21832,3,7,3194,6.07428E-06,0,0,0,0,0,156940,23.743,0,0,0,0,0,0,0,0,0,0,0,0,0,21832,1
