D1,D2,avgArea D1,avgArea D2,size D1 (in MB),size D2 (in MB),areaINT/area1,MBR1,areaINT/area2,MBR2
A283,B283,1.00E-07,1.00E-08,512,4096,0.8,"-0.1180339887498949,-0.1180339887498949,1.0,1.0",0.01,"0.0,0.0,10.0,10.0"
A284,B284,1.00E-07,1.00E-08,1024,4096,0.7,"-0.19522860933439357,-0.19522860933439357,1.0,1.0",0.01,"0.0,0.0,10.0,10.0"
A285,B285,1.00E-07,1.00E-08,2048,4096,0.6,"-0.2909944487358056,-0.2909944487358056,1.0,1.0",0.01,"0.0,0.0,10.0,10.0"
A286,B286,1.00E-07,1.00E-08,4096,4096,0.5,"-0.41421356237309515,-0.41421356237309515,1.0,1.0",0.01,"0.0,0.0,10.0,10.0"
A287,B287,1.00E-07,1.00E-08,8192,4096,0.4,"-0.5811388300841898,-0.5811388300841898,1.0,1.0",0.01,"0.0,0.0,10.0,10.0"
A288,B288,1.00E-07,1.00E-08,16384,4096,0.3,"-0.8257418583505538,-0.8257418583505538,1.0,1.0",0.01,"0.0,0.0,10.0,10.0"
A289,B289,1.00E-07,1.00E-08,32768,4096,0.2,"-1.2360679774997898,-1.2360679774997898,1.0,1.0",0.01,"0.0,0.0,10.0,10.0"
A290,B290,1.00E-07,1.00E-08,65536,4096,0.1,"-2.1622776601683795,-2.1622776601683795,1.0,1.0",0.01,"0.0,0.0,10.0,10.0"
A291,B291,1.00E-05,1.00E-08,128,8192,1,"0.0,0.0,1.0,1.0",0.3,"0.0,0.0,1.8257418583505538,1.8257418583505538"
A292,B292,1.00E-05,1.00E-08,256,8192,1,"0.0,0.0,1.0,1.0",0.5,"0.0,0.0,1.4142135623730951,1.4142135623730951"
A293,B293,1.00E-05,1.00E-08,512,8192,1,"0.0,0.0,1.0,1.0",0.6,"0.0,0.0,1.2909944487358056,1.2909944487358056"
A294,B294,1.00E-05,1.00E-08,1024,8192,1,"0.0,0.0,1.0,1.0",0.7,"0.0,0.0,1.1952286093343936,1.1952286093343936"
A295,B295,1.00E-05,1.00E-08,2048,8192,1,"0.0,0.0,1.0,1.0",0.8,"0.0,0.0,1.118033988749895,1.118033988749895"
A296,B296,1.00E-05,1.00E-08,4096,8192,1,"0.0,0.0,1.0,1.0",0.9,"0.0,0.0,1.0540925533894598,1.0540925533894598"
A297,B297,1.00E-05,1.00E-08,8192,8192,0.9,"-0.05409255338945984,-0.05409255338945984,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A298,B298,1.00E-05,1.00E-08,16384,8192,0.7,"-0.19522860933439357,-0.19522860933439357,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A299,B299,1.00E-05,1.00E-08,32768,8192,0.5,"-0.41421356237309515,-0.41421356237309515,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A300,B300,1.00E-05,1.00E-08,65536,8192,0.3,"-0.8257418583505538,-0.8257418583505538,1.0,1.0",1,"0.0,0.0,1.0,1.0"
